iShares Russell 2000 ETF
Fund Holdings as of,"Sep 14, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"277,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SUPN","SUPERNUS PHARMACEUTICALS","Health Care","Equity","60,630,083.82","0.08","60,630,083.82","1,461,318.00","41.49","United States","NASDAQ","USD","1.00","USD","-"
"IOSP","INNOSPEC INC","Materials","Equity","60,431,054.20","0.08","60,431,054.20","657,145.00","91.96","United States","NASDAQ","USD","1.00","USD","-"
"LION","LIONSGATE STUDIOS","Communication","Equity","60,425,188.53","0.08","60,425,188.53","5,195,631.00","11.63","United States","NYSE","USD","1.00","USD","-"
"DCO","DUCOMMUN","Industrials","Equity","60,340,738.50","0.08","60,340,738.50","366,813.00","164.50","United States","NYSE","USD","1.00","USD","-"
"AXGN","AXOGEN","Health Care","Equity","60,198,769.62","0.08","60,198,769.62","1,375,029.00","43.78","United States","NASDAQ","USD","1.00","USD","-"
"PENN","PENN ENTERTAINMENT","Consumer Discretionary","Equity","59,962,176.00","0.08","59,962,176.00","3,331,232.00","18.00","United States","NASDAQ","USD","1.00","USD","-"
"AVPT","AVEPOINT CLASS A","Information Technology","Equity","59,799,118.40","0.08","59,799,118.40","4,396,994.00","13.60","United States","NASDAQ","USD","1.00","USD","-"
"ATRO","ASTRONICS","Industrials","Equity","59,742,949.73","0.08","59,742,949.73","841,865.00","70.97","United States","NASDAQ","USD","1.00","USD","-"
"KMT","KENNAMETAL","Industrials","Equity","59,671,026.74","0.07","59,671,026.74","2,028,247.00","29.42","United States","NYSE","USD","1.00","USD","-"
"WERN","WERNER ENTERPRISES","Industrials","Equity","59,655,769.72","0.07","59,655,769.72","1,587,434.00","37.58","United States","NASDAQ","USD","1.00","USD","-"
"WTTR","SELECT WATER SOLUTIONS CLASS A","Energy","Equity","59,616,329.15","0.07","59,616,329.15","2,973,383.00","20.05","United States","NYSE","USD","1.00","USD","-"
"PBH","PRESTIGE CONSUMER HEALTHCARE","Health Care","Equity","59,587,667.92","0.07","59,587,667.92","1,251,316.00","47.62","United States","NYSE","USD","1.00","USD","-"
"SGHC","SUPER GROUP","Consumer Discretionary","Equity","59,489,661.57","0.07","59,489,661.57","4,282,913.00","13.89","United States","NYSE","USD","1.00","USD","-"
"TRN","TRINITY INDUSTRIES INC","Industrials","Equity","59,268,736.80","0.07","59,268,736.80","2,110,710.00","28.08","United States","NYSE","USD","1.00","USD","-"
"NWBI","NORTHWEST BANCSHARES INC","Financials","Equity","58,744,028.05","0.07","58,744,028.05","3,777,751.00","15.55","United States","NASDAQ","USD","1.00","USD","-"
"TALO","TALOS ENERGY","Energy","Equity","58,699,667.82","0.07","58,699,667.82","3,323,877.00","17.66","United States","NYSE","USD","1.00","USD","-"
"MD","PEDIATRIX MEDICAL GROUP INC","Health Care","Equity","58,653,062.91","0.07","58,653,062.91","2,179,601.00","26.91","United States","NYSE","USD","1.00","USD","-"
"NMRK","NEWMARK GROUP INC CLASS A","Real Estate","Equity","58,635,818.60","0.07","58,635,818.60","4,129,283.00","14.20","United States","NASDAQ","USD","1.00","USD","-"
"HLIO","HELIOS TECHNOLOGIES INC","Industrials","Equity","58,500,304.25","0.07","58,500,304.25","869,893.00","67.25","United States","NYSE","USD","1.00","USD","-"
"UPST","UPSTART HOLDINGS","Financials","Equity","58,478,302.80","0.07","58,478,302.80","2,240,548.00","26.10","United States","NASDAQ","USD","1.00","USD","-"
"CC","CHEMOURS","Materials","Equity","58,383,583.38","0.07","58,383,583.38","4,004,361.00","14.58","United States","NYSE","USD","1.00","USD","-"
"LCII","LCI INDUSTRIES","Consumer Discretionary","Equity","58,387,202.20","0.07","58,387,202.20","647,380.00","90.19","United States","NYSE","USD","1.00","USD","-"
"NAVN","NAVAN CLASS A","Consumer Discretionary","Equity","58,283,768.68","0.07","58,283,768.68","2,727,364.00","21.37","United States","NASDAQ","USD","1.00","USD","-"
"OSW","ONESPAWORLD HOLDINGS LTD","Consumer Discretionary","Equity","58,024,418.00","0.07","58,024,418.00","2,630,300.00","22.06","United States","NASDAQ","USD","1.00","USD","-"
"PAY","PAYMENTUS HOLDINGS INC CLASS A","Financials","Equity","57,940,355.16","0.07","57,940,355.16","1,562,577.00","37.08","United States","NYSE","USD","1.00","USD","-"
"SLS","SELLAS LIFE SCIENCES GROUP INC","Health Care","Equity","57,837,021.38","0.07","57,837,021.38","4,932,795.00","11.73","United States","NASDAQ","USD","1.00","USD","-"
"MANE","VERADERMICS","Health Care","Equity","57,766,311.90","0.07","57,766,311.90","568,007.00","101.70","United States","NYSE","USD","1.00","USD","-"
"HTO","H2O AMERICA","Utilities","Equity","57,589,091.24","0.07","57,589,091.24","923,198.00","62.38","United States","NASDAQ","USD","1.00","USD","-"
"FLYW","FLYWIRE","Financials","Equity","57,462,631.10","0.07","57,462,631.10","3,174,731.00","18.10","United States","NASDAQ","USD","1.00","USD","-"
"OCUL","OCULAR THERAPEUTIX","Health Care","Equity","57,379,314.56","0.07","57,379,314.56","5,352,548.00","10.72","United States","NASDAQ","USD","1.00","USD","-"
"ADUS","ADDUS HOMECARE CORP","Health Care","Equity","56,961,955.05","0.07","56,961,955.05","485,485.00","117.33","United States","NASDAQ","USD","1.00","USD","-"
"HGV","HILTON GRAND VACATIONS","Consumer Discretionary","Equity","56,828,813.28","0.07","56,828,813.28","1,469,584.00","38.67","United States","NYSE","USD","1.00","USD","-"
"CLOV","CLOVER HEALTH INVESTMENTS CLASS A","Health Care","Equity","56,777,662.50","0.07","56,777,662.50","11,132,875.00","5.10","United States","NASDAQ","USD","1.00","USD","-"
"CNS","COHEN & STEERS INC","Financials","Equity","56,768,408.22","0.07","56,768,408.22","766,002.00","74.11","United States","NYSE","USD","1.00","USD","-"
"VERA","VERA THERAPEUTICS CLASS A","Health Care","Equity","56,735,574.15","0.07","56,735,574.15","1,666,243.00","34.05","United States","NASDAQ","USD","1.00","USD","-"
"SRPT","SAREPTA THERAPEUTICS","Health Care","Equity","56,711,484.08","0.07","56,711,484.08","2,710,874.00","20.92","United States","NASDAQ","USD","1.00","USD","-"
"DXC","DXC TECHNOLOGY","Information Technology","Equity","56,706,292.44","0.07","56,706,292.44","4,678,737.00","12.12","United States","NYSE","USD","1.00","USD","-"
"AGM","FEDERAL AGRICULTURAL MORTGAGE NON","Financials","Equity","56,584,012.50","0.07","56,584,012.50","251,250.00","225.21","United States","NYSE","USD","1.00","USD","-"
"RCUS","ARCUS BIOSCIENCES","Health Care","Equity","56,350,373.28","0.07","56,350,373.28","2,341,104.00","24.07","United States","NYSE","USD","1.00","USD","-"
"LASR","NLIGHT","Information Technology","Equity","56,250,888.90","0.07","56,250,888.90","1,462,962.00","38.45","United States","NASDAQ","USD","1.00","USD","-"
"CALY","CALLAWAY GOLF COMPANY","Consumer Discretionary","Equity","56,247,123.94","0.07","56,247,123.94","3,685,919.00","15.26","United States","NYSE","USD","1.00","USD","-"
"BFH","BREAD FINANCIAL HOLDINGS","Financials","Equity","56,192,390.43","0.07","56,192,390.43","514,441.00","109.23","United States","NYSE","USD","1.00","USD","-"
"INSP","INSPIRE MEDICAL SYSTEMS","Health Care","Equity","56,169,941.20","0.07","56,169,941.20","755,785.00","74.32","United States","NYSE","USD","1.00","USD","-"
"ECPG","ENCORE CAPITAL GROUP","Financials","Equity","55,880,132.92","0.07","55,880,132.92","560,258.00","99.74","United States","NASDAQ","USD","1.00","USD","-"
"HCI","HCI GROUP INC","Financials","Equity","55,881,951.56","0.07","55,881,951.56","299,603.00","186.52","United States","NYSE","USD","1.00","USD","-"
"SYBT","STOCK YARDS BANCORP INC","Financials","Equity","55,864,826.28","0.07","55,864,826.28","694,318.00","80.46","United States","NASDAQ","USD","1.00","USD","-"
"VVX","V2X","Industrials","Equity","55,855,038.72","0.07","55,855,038.72","765,557.00","72.96","United States","NYSE","USD","1.00","USD","-"
"HUBG","HUB GROUP CLASS A","Industrials","Equity","55,843,236.56","0.07","55,843,236.56","1,583,756.00","35.26","United States","NASDAQ","USD","1.00","USD","-"
"INTA","INTAPP","Information Technology","Equity","55,844,880.48","0.07","55,844,880.48","1,470,376.00","37.98","United States","NASDAQ","USD","1.00","USD","-"
"KWR","QUAKER HOUGHTON CORP","Materials","Equity","55,840,034.01","0.07","55,840,034.01","363,329.00","153.69","United States","NYSE","USD","1.00","USD","-"
"OFG","OFG BANCORP","Financials","Equity","55,820,503.20","0.07","55,820,503.20","1,055,208.00","52.90","United States","NYSE","USD","1.00","USD","-"
"LTC","LTC PROPERTIES REIT","Real Estate","Equity","55,686,731.36","0.07","55,686,731.36","1,305,974.00","42.64","United States","NYSE","USD","1.00","USD","-"
"FCF","FIRST COMMONWEALTH FINANCIAL CORP","Financials","Equity","55,623,918.40","0.07","55,623,918.40","2,601,680.00","21.38","United States","NYSE","USD","1.00","USD","-"
"CRVL","CORVEL","Health Care","Equity","55,487,725.38","0.07","55,487,725.38","768,741.00","72.18","United States","NASDAQ","USD","1.00","USD","-"
"MTX","MINERALS TECHNOLOGIES","Materials","Equity","55,374,105.78","0.07","55,374,105.78","816,366.00","67.83","United States","NYSE","USD","1.00","USD","-"
"UFPT","UFP TECHNOLOGIES INC","Health Care","Equity","55,378,109.91","0.07","55,378,109.91","199,209.00","277.99","United States","NASDAQ","USD","1.00","USD","-"
"XRAY","DENTSPLY SIRONA","Health Care","Equity","55,361,698.86","0.07","55,361,698.86","5,333,497.00","10.38","United States","NASDAQ","USD","1.00","USD","-"
"BXMT","BLACKSTONE MORTGAGE TRUST REIT CLA","Financials","Equity","55,319,320.68","0.07","55,319,320.68","4,200,404.00","13.17","United States","NYSE","USD","1.00","USD","-"
"AMR","ALPHA METALLURGICAL RESOURCE","Materials","Equity","55,303,427.70","0.07","55,303,427.70","279,522.00","197.85","United States","NYSE","USD","1.00","USD","-"
"RH","RH","Consumer Discretionary","Equity","55,032,106.39","0.07","55,032,106.39","410,167.00","134.17","United States","NYSE","USD","1.00","USD","-"
"STC","STEWART INFO SERVICES CORP","Financials","Equity","54,963,571.14","0.07","54,963,571.14","820,107.00","67.02","United States","NYSE","USD","1.00","USD","-"
"ADMA","ADMA BIOLOGICS","Health Care","Equity","54,812,186.98","0.07","54,812,186.98","5,996,957.00","9.14","United States","NASDAQ","USD","1.00","USD","-"
"LPG","DORIAN LPG","Energy","Equity","54,680,716.74","0.07","54,680,716.74","987,373.00","55.38","United States","NYSE","USD","1.00","USD","-"
"OUST","OUSTER","Information Technology","Equity","54,628,201.32","0.07","54,628,201.32","1,632,642.00","33.46","United States","NASDAQ","USD","1.00","USD","-"
"NWN","NORTHWEST NATURAL HOLDING COMPANY","Utilities","Equity","54,403,710.40","0.07","54,403,710.40","1,120,340.00","48.56","United States","NYSE","USD","1.00","USD","-"
"GRBK","GREEN BRICK PARTNERS","Consumer Discretionary","Equity","54,307,503.00","0.07","54,307,503.00","788,780.00","68.85","United States","NYSE","USD","1.00","USD","-"
"IPAR","INTERPARFUMS INC","Consumer Staples","Equity","54,309,962.70","0.07","54,309,962.70","484,694.00","112.05","United States","NASDAQ","USD","1.00","USD","-"
"PACS","PACS GROUP","Health Care","Equity","54,194,406.75","0.07","54,194,406.75","1,216,485.00","44.55","United States","NYSE","USD","1.00","USD","-"
"PFSI","PENNYMAC FINANCIAL SERVICES","Financials","Equity","54,078,687.30","0.07","54,078,687.30","784,090.00","68.97","United States","NYSE","USD","1.00","USD","-"
"FA","FIRST ADVANTAGE","Industrials","Equity","54,006,029.32","0.07","54,006,029.32","2,423,969.00","22.28","United States","NASDAQ","USD","1.00","USD","-"
"MZTI","MARZETTI","Consumer Staples","Equity","53,749,091.60","0.07","53,749,091.60","522,140.00","102.94","United States","NASDAQ","USD","1.00","USD","-"
"RDW","REDWIRE","Industrials","Equity","53,507,423.47","0.07","53,507,423.47","5,100,803.00","10.49","United States","NYSE","USD","1.00","USD","-"
"CALX","CALIX NETWORKS","Information Technology","Equity","53,461,936.75","0.07","53,461,936.75","1,538,473.00","34.75","United States","NYSE","USD","1.00","USD","-"
"VCEL","VERICEL","Health Care","Equity","53,020,202.40","0.07","53,020,202.40","1,338,894.00","39.60","United States","NASDAQ","USD","1.00","USD","-"
"KEEL","KEEL INFRASTRUCTURE CORP","Information Technology","Equity","53,000,369.70","0.07","53,000,369.70","15,362,426.00","3.45","United States","NASDAQ","USD","1.00","USD","-"
"PEB","PEBBLEBROOK HOTEL TRUST REIT","Real Estate","Equity","52,972,980.95","0.07","52,972,980.95","2,951,141.00","17.95","United States","NYSE","USD","1.00","USD","-"
"NESR","NATIONAL ENERGY SERVICES REUNITED","Energy","Equity","52,734,187.04","0.07","52,734,187.04","1,610,696.00","32.74","United States","NASDAQ","USD","1.00","USD","-"
"PTON","PELOTON INTERACTIVE CLASS A INC","Consumer Discretionary","Equity","52,628,156.62","0.07","52,628,156.62","10,653,473.00","4.94","United States","NASDAQ","USD","1.00","USD","-"
"TILE","INTERFACE","Industrials","Equity","52,607,043.06","0.07","52,607,043.06","1,527,942.00","34.43","United States","NASDAQ","USD","1.00","USD","-"
"SHO","SUNSTONE HOTEL INVESTORS REIT INC","Real Estate","Equity","52,403,671.95","0.07","52,403,671.95","4,768,305.00","10.99","United States","NYSE","USD","1.00","USD","-"
"HMN","HORACE MANN EDUCATORS CORP","Financials","Equity","52,329,980.50","0.07","52,329,980.50","1,051,225.00","49.78","United States","NYSE","USD","1.00","USD","-"
"SEZL","SEZZLE INC","Financials","Equity","52,330,900.63","0.07","52,330,900.63","430,459.00","121.57","United States","NASDAQ","USD","1.00","USD","-"
"GEF","GREIF INC CLASS A","Materials","Equity","52,282,627.29","0.07","52,282,627.29","640,483.00","81.63","United States","NYSE","USD","1.00","USD","-"
"VRDN","VIRIDIAN THERAPEUTICS ORS","Health Care","Equity","52,186,183.80","0.07","52,186,183.80","2,350,729.00","22.20","United States","NASDAQ","USD","1.00","USD","-"
"NVTS","NAVITAS SEMICONDUCTOR","Information Technology","Equity","52,160,671.53","0.07","52,160,671.53","4,789,777.00","10.89","United States","NASDAQ","USD","1.00","USD","-"
"ZD","ZIFF DAVIS INC","Communication","Equity","52,085,097.95","0.07","52,085,097.95","908,197.00","57.35","United States","NASDAQ","USD","1.00","USD","-"
"CHCO","CITY HOLDING","Financials","Equity","51,892,991.36","0.07","51,892,991.36","357,784.00","145.04","United States","NASDAQ","USD","1.00","USD","-"
"ARR","ARMOUR RESIDENTIAL REIT","Financials","Equity","51,878,438.00","0.07","51,878,438.00","3,346,996.00","15.50","United States","NYSE","USD","1.00","USD","-"
"BLBD","BLUE BIRD","Industrials","Equity","51,800,612.05","0.07","51,800,612.05","830,005.00","62.41","United States","NASDAQ","USD","1.00","USD","-"
"PRDO","PERDOCEO EDUCATION","Consumer Discretionary","Equity","51,776,522.28","0.07","51,776,522.28","1,566,138.00","33.06","United States","NASDAQ","USD","1.00","USD","-"
"SPB","SPECTRUM BRANDS HOLDINGS","Consumer Staples","Equity","51,647,689.00","0.06","51,647,689.00","604,420.00","85.45","United States","NYSE","USD","1.00","USD","-"
"AGIO","AGIOS PHARMACEUTICALS","Health Care","Equity","51,194,345.40","0.06","51,194,345.40","1,541,070.00","33.22","United States","NASDAQ","USD","1.00","USD","-"
"NNI","NELNET CLASS A","Financials","Equity","51,098,501.96","0.06","51,098,501.96","400,804.00","127.49","United States","NYSE","USD","1.00","USD","-"
"AUPH","AURINIA PHARMACEUTICALS","Health Care","Equity","51,029,011.89","0.06","51,029,011.89","3,109,629.00","16.41","United States","NASDAQ","USD","1.00","USD","-"
"IRON","DISC MEDICINE","Health Care","Equity","51,022,165.20","0.06","51,022,165.20","740,310.00","68.92","United States","NASDAQ","USD","1.00","USD","-"
"TBBK","BANCORP INC","Financials","Equity","50,967,275.94","0.06","50,967,275.94","1,014,678.00","50.23","United States","NASDAQ","USD","1.00","USD","-"
"HAPN","HAPPEN","Financials","Equity","50,846,508.09","0.06","50,846,508.09","3,042,879.00","16.71","United States","NASDAQ","USD","1.00","USD","-"
"RUN","SUNRUN INC","Industrials","Equity","50,755,914.51","0.06","50,755,914.51","6,093,147.00","8.33","United States","NASDAQ","USD","1.00","USD","-"
"ESTA","ESTABLISHMENT LABS INC","Health Care","Equity","50,673,177.84","0.06","50,673,177.84","704,577.00","71.92","United States","NASDAQ","USD","1.00","USD","-"
"PPTA","PERPETUA RESOURCES","Materials","Equity","50,618,571.30","0.06","50,618,571.30","2,244,726.00","22.55","United States","NASDAQ","USD","1.00","USD","-"
"PGNY","PROGYNY","Health Care","Equity","50,553,320.00","0.06","50,553,320.00","1,815,200.00","27.85","United States","NASDAQ","USD","1.00","USD","-"
"TNET","TRINET GROUPINARY","Industrials","Equity","50,527,959.80","0.06","50,527,959.80","735,380.00","68.71","United States","NYSE","USD","1.00","USD","-"
"WLY","JOHN WILEY AND SONS CLASS A","Communication","Equity","50,255,520.42","0.06","50,255,520.42","1,037,694.00","48.43","United States","NYSE","USD","1.00","USD","-"
"PRGO","PERRIGO PLC","Health Care","Equity","50,191,759.80","0.06","50,191,759.80","3,677,052.00","13.65","United States","NYSE","USD","1.00","USD","-"
"DV","DOUBLEVERIFY HOLDINGS","Communication","Equity","49,874,103.76","0.06","49,874,103.76","3,688,913.00","13.52","United States","NYSE","USD","1.00","USD","-"
"BCRX","BIOCRYST PHARMACEUTICALS","Health Care","Equity","49,817,761.93","0.06","49,817,761.93","6,053,191.00","8.23","United States","NASDAQ","USD","1.00","USD","-"
"ALGT","ALLEGIANT TRAVEL","Industrials","Equity","49,747,726.50","0.06","49,747,726.50","633,729.00","78.50","United States","NASDAQ","USD","1.00","USD","-"
"GNL","GLOBAL NET LEASE INC","Real Estate","Equity","49,690,846.26","0.06","49,690,846.26","5,508,963.00","9.02","United States","NYSE","USD","1.00","USD","-"
"KSS","KOHLS CORP","Consumer Discretionary","Equity","49,629,678.96","0.06","49,629,678.96","2,890,488.00","17.17","United States","NYSE","USD","1.00","USD","-"
"NTST","NETSTREIT","Real Estate","Equity","49,540,276.48","0.06","49,540,276.48","2,537,924.00","19.52","United States","NYSE","USD","1.00","USD","-"
"PRLB","PROTO LABS","Industrials","Equity","49,277,739.58","0.06","49,277,739.58","629,989.00","78.22","United States","NYSE","USD","1.00","USD","-"
"PAYO","PAYONEER GLOBAL INC","Financials","Equity","49,278,916.26","0.06","49,278,916.26","6,901,809.00","7.14","United States","NASDAQ","USD","1.00","USD","-"
"SONO","SONOS","Consumer Discretionary","Equity","49,243,036.06","0.06","49,243,036.06","3,160,657.00","15.58","United States","NASDAQ","USD","1.00","USD","-"
"NSP","INSPERITY","Industrials","Equity","49,233,271.36","0.06","49,233,271.36","966,116.00","50.96","United States","NYSE","USD","1.00","USD","-"
"GABC","GERMAN AMERICAN BANCORP INC","Financials","Equity","49,156,359.00","0.06","49,156,359.00","984,900.00","49.91","United States","NASDAQ","USD","1.00","USD","-"
"STRA","STRATEGIC EDUCATION","Consumer Discretionary","Equity","49,014,298.53","0.06","49,014,298.53","592,461.00","82.73","United States","NASDAQ","USD","1.00","USD","-"
"EVTC","EVERTEC INC","Financials","Equity","48,944,437.50","0.06","48,944,437.50","1,668,750.00","29.33","United States","NYSE","USD","1.00","USD","-"
"HRMY","HARMONY BIOSCIENCES HLDG","Health Care","Equity","48,891,043.02","0.06","48,891,043.02","1,176,963.00","41.54","United States","NASDAQ","USD","1.00","USD","-"
"GTY","GETTY REALTY REIT","Real Estate","Equity","48,712,494.60","0.06","48,712,494.60","1,520,365.00","32.04","United States","NYSE","USD","1.00","USD","-"
"ASST","STRIVE INC CLASS A","Health Care","Equity","48,499,172.71","0.06","48,499,172.71","1,670,657.00","29.03","United States","NASDAQ","USD","1.00","USD","-"
"ATEN","A10 NETWORKS","Information Technology","Equity","48,469,434.78","0.06","48,469,434.78","1,892,598.00","25.61","United States","NYSE","USD","1.00","USD","-"
"MBX","MBX BIOSCIENCES","Health Care","Equity","48,149,837.73","0.06","48,149,837.73","809,377.00","59.49","United States","NASDAQ","USD","1.00","USD","-"
"SPNT","SIRIUSPOINT","Financials","Equity","47,939,990.14","0.06","47,939,990.14","1,947,197.00","24.62","United States","NYSE","USD","1.00","USD","-"
"PRGS","PROGRESS SOFTWARE CORP","Information Technology","Equity","47,586,019.08","0.06","47,586,019.08","1,103,316.00","43.13","United States","NASDAQ","USD","1.00","USD","-"
"URGN","UROGEN PHARMA","Health Care","Equity","47,533,366.40","0.06","47,533,366.40","1,114,760.00","42.64","United States","NASDAQ","USD","1.00","USD","-"
"ICHR","ICHOR HOLDINGS","Information Technology","Equity","47,105,389.52","0.06","47,105,389.52","916,804.00","51.38","United States","NASDAQ","USD","1.00","USD","-"
"ASTH","ASTRANA HEALTH","Health Care","Equity","47,036,088.00","0.06","47,036,088.00","1,187,780.00","39.60","United States","NASDAQ","USD","1.00","USD","-"
"WGS","GENEDX HOLDINGS CLASS A","Health Care","Equity","47,006,978.62","0.06","47,006,978.62","523,813.00","89.74","United States","NASDAQ","USD","1.00","USD","-"
"NBHC","NATIONAL BANK HOLDINGS CORP CLASS","Financials","Equity","46,919,140.94","0.06","46,919,140.94","1,124,081.00","41.74","United States","NYSE","USD","1.00","USD","-"
"GLOB","GLOBANT","Information Technology","Equity","46,648,164.59","0.06","46,648,164.59","1,152,091.00","40.49","United States","NYSE","USD","1.00","USD","-"
"BBUC","BROOKFIELD BUSINESS CORP CLASS A","Industrials","Equity","46,545,252.26","0.06","46,545,252.26","1,799,198.00","25.87","Canada","NYSE","USD","1.00","USD","-"
"ACVA","ACV AUCTIONS CLASS A","Industrials","Equity","46,432,628.67","0.06","46,432,628.67","4,460,387.00","10.41","United States","NYSE","USD","1.00","USD","-"
"ALG","ALAMO GROUP","Industrials","Equity","46,374,174.18","0.06","46,374,174.18","275,283.00","168.46","United States","NYSE","USD","1.00","USD","-"
"LUNR","INTUITIVE MACHINES INC CLASS A","Industrials","Equity","46,319,142.32","0.06","46,319,142.32","3,337,114.00","13.88","United States","NASDAQ","USD","1.00","USD","-"
"EPAC","ENERPAC TOOL GROUP CLASS A","Industrials","Equity","46,272,301.35","0.06","46,272,301.35","1,341,615.00","34.49","United States","NYSE","USD","1.00","USD","-"
"INOD","INNODATA","Industrials","Equity","46,262,671.40","0.06","46,262,671.40","837,485.00","55.24","United States","NASDAQ","USD","1.00","USD","-"
"SMA","SMARTSTOP SELF STORAGE REIT INC","Real Estate","Equity","46,037,495.32","0.06","46,037,495.32","1,429,292.00","32.21","United States","NYSE","USD","1.00","USD","-"
"WKC","WORLD KINECT","Energy","Equity","46,001,354.49","0.06","46,001,354.49","1,313,949.00","35.01","United States","NYSE","USD","1.00","USD","-"
"SLDE","SLIDE INSURANCE HOLDINGS","Financials","Equity","45,846,131.73","0.06","45,846,131.73","1,747,851.00","26.23","United States","NASDAQ","USD","1.00","USD","-"
"LMAT","LEMAITRE VASCULAR","Health Care","Equity","45,789,401.47","0.06","45,789,401.47","566,911.00","80.77","United States","NASDAQ","USD","1.00","USD","-"
"AIN","ALBANY INTERNATIONAL CORP CLASS A","Industrials","Equity","45,400,775.29","0.06","45,400,775.29","754,291.00","60.19","United States","NYSE","USD","1.00","USD","-"
"WOR","WORTHINGTON ENTERPRISES","Industrials","Equity","45,366,935.25","0.06","45,366,935.25","821,121.00","55.25","United States","NYSE","USD","1.00","USD","-"
"KOS","KOSMOS ENERGY","Energy","Equity","45,325,326.24","0.06","45,325,326.24","15,522,372.00","2.92","United States","NYSE","USD","1.00","USD","-"
"RXRX","RECURSION PHARMACEUTICALS CLASS A","Health Care","Equity","45,229,660.30","0.06","45,229,660.30","13,263,830.00","3.41","United States","NASDAQ","USD","1.00","USD","-"
"NVCR","NOVOCURE","Health Care","Equity","45,186,632.98","0.06","45,186,632.98","2,785,859.00","16.22","United States","NASDAQ","USD","1.00","USD","-"
"QCRH","QCR HOLDINGS INC","Financials","Equity","45,142,406.32","0.06","45,142,406.32","439,813.00","102.64","United States","NASDAQ","USD","1.00","USD","-"
"SBET","SHARPLINK INC","Financials","Equity","45,124,002.75","0.06","45,124,002.75","4,931,585.00","9.15","United States","NASDAQ","USD","1.00","USD","-"
"CTRI","CENTURI HOLDINGS INC","Industrials","Equity","45,095,561.97","0.06","45,095,561.97","2,304,321.00","19.57","United States","NYSE","USD","1.00","USD","-"
"STBA","S AND T BANCORP INC","Financials","Equity","44,960,836.05","0.06","44,960,836.05","889,785.00","50.53","United States","NASDAQ","USD","1.00","USD","-"
"DHC","DIVERSIFIED HEALTHCARE TRUST","Real Estate","Equity","44,938,283.52","0.06","44,938,283.52","5,851,339.00","7.68","United States","NASDAQ","USD","1.00","USD","-"
"VOYG","VOYAGER TECHNOLOGIES CLASS A","Industrials","Equity","44,800,916.20","0.06","44,800,916.20","1,353,502.00","33.10","United States","NYSE","USD","1.00","USD","-"
"HE","HAWAIIAN ELECTRIC INDUSTRIES","Utilities","Equity","44,754,008.60","0.06","44,754,008.60","4,319,885.00","10.36","United States","NYSE","USD","1.00","USD","-"
"TIC","TIC SOLUTIONS INC","Industrials","Equity","44,706,856.74","0.06","44,706,856.74","4,740,918.00","9.43","United States","NYSE","USD","1.00","USD","-"
"XNCR","XENCOR","Health Care","Equity","44,648,475.74","0.06","44,648,475.74","1,820,158.00","24.53","United States","NASDAQ","USD","1.00","USD","-"
"FLY","FIREFLY AEROSPACE","Industrials","Equity","44,552,709.36","0.06","44,552,709.36","2,085,801.00","21.36","United States","NASDAQ","USD","1.00","USD","-"
"HG","HAMILTON INSURANCE GROUP CLASS B","Financials","Equity","44,432,112.66","0.06","44,432,112.66","1,270,578.00","34.97","United States","NYSE","USD","1.00","USD","-"
"TRVI","TREVI THERAPEUTICS","Health Care","Equity","44,352,978.39","0.06","44,352,978.39","2,791,251.00","15.89","United States","NASDAQ","USD","1.00","USD","-"
"PAGS","PAGSEGURO DIGITAL LTD CLASS A","Financials","Equity","44,289,686.70","0.06","44,289,686.70","4,460,190.00","9.93","Brazil","NYSE","USD","1.00","USD","-"
"BLX","BLADEX INC CLASS E","Financials","Equity","44,135,134.56","0.06","44,135,134.56","808,632.00","54.58","Panama","NYSE","USD","1.00","USD","-"
"CPRI","CAPRI HOLDINGS LTD","Consumer Discretionary","Equity","44,090,515.92","0.06","44,090,515.92","3,113,737.00","14.16","United States","NYSE","USD","1.00","USD","-"
"BHVN","BIOHAVEN","Health Care","Equity","43,948,736.48","0.06","43,948,736.48","3,476,957.00","12.64","United States","NYSE","USD","1.00","USD","-"
"HOPE","HOPE BANCORP INC","Financials","Equity","43,933,605.35","0.06","43,933,605.35","3,126,947.00","14.05","United States","NASDAQ","USD","1.00","USD","-"
"DCOM","DIME COMMERCIAL BANCSHARES","Financials","Equity","43,885,908.27","0.06","43,885,908.27","1,070,127.00","41.01","United States","NYSE","USD","1.00","USD","-"
"FTRE","FORTREA HOLDINGS INC","Health Care","Equity","43,816,704.55","0.06","43,816,704.55","2,516,755.00","17.41","United States","NASDAQ","USD","1.00","USD","-"
"CENTA","CENTRAL GARDEN AND PET CLASS A","Consumer Staples","Equity","43,654,631.30","0.05","43,654,631.30","1,261,330.00","34.61","United States","NASDAQ","USD","1.00","USD","-"
"CASH","PATHWARD FINANCIAL INC","Financials","Equity","43,519,332.48","0.05","43,519,332.48","552,416.00","78.78","United States","NASDAQ","USD","1.00","USD","-"
"XHR","XENIA HOTELS RESORTS REIT","Real Estate","Equity","43,447,116.45","0.05","43,447,116.45","2,461,593.00","17.65","United States","NYSE","USD","1.00","USD","-"
