iShares Russell 2000 ETF
Fund Holdings as of,"Sep 14, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"277,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"KYMR","KYMERA THERAPEUTICS","Health Care","Equity","187,076,045.37","0.24","187,076,045.37","1,631,999.00","114.63","United States","NASDAQ","USD","1.00","USD","-"
"ZETA","ZETA GLOBAL HOLDINGS CLASS A","Information Technology","Equity","183,658,492.57","0.23","183,658,492.57","5,922,557.00","31.01","United States","NYSE","USD","1.00","USD","-"
"TRNO","TERRENO REALTY REIT","Real Estate","Equity","181,949,113.14","0.23","181,949,113.14","2,793,201.00","65.14","United States","NYSE","USD","1.00","USD","-"
"PBF","PBF ENERGY CLASS A","Energy","Equity","181,605,248.00","0.23","181,605,248.00","2,579,620.00","70.40","United States","NYSE","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES","Industrials","Equity","181,455,292.74","0.23","181,455,292.74","689,446.00","263.19","United States","NYSE","USD","1.00","USD","-"
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","181,169,235.39","0.23","181,169,235.39","3,930,771.00","46.09","United States","NYSE","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","179,983,259.04","0.23","179,983,259.04","1,587,714.00","113.36","United States","NYSE","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","179,592,476.40","0.23","179,592,476.40","12,976,335.00","13.84","United States","NASDAQ","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES","Communication","Equity","178,089,619.15","0.22","178,089,619.15","25,332,805.00","7.03","United States","NYSE","USD","1.00","USD","-"
"SYRE","SPYRE THERAPEUTICS INC","Health Care","Equity","176,261,414.00","0.22","176,261,414.00","1,941,205.00","90.80","United States","NASDAQ","USD","1.00","USD","-"
"TEX","TEREX","Industrials","Equity","176,105,134.80","0.22","176,105,134.80","3,001,110.00","58.68","United States","NYSE","USD","1.00","USD","-"
"LNTH","LANTHEUS HOLDINGS","Health Care","Equity","170,864,622.72","0.21","170,864,622.72","1,703,196.00","100.32","United States","NASDAQ","USD","1.00","USD","-"
"PLXS","PLEXUS CORP","Information Technology","Equity","169,289,489.06","0.21","169,289,489.06","706,462.00","239.63","United States","NASDAQ","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES","Financials","Equity","168,064,567.45","0.21","168,064,567.45","3,524,105.00","47.69","United States","NASDAQ","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS","Utilities","Equity","167,933,260.80","0.21","167,933,260.80","1,943,672.00","86.40","United States","NYSE","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY","Financials","Equity","167,574,417.60","0.21","167,574,417.60","2,213,080.00","75.72","United States","NASDAQ","USD","1.00","USD","-"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","Energy","Equity","167,517,896.28","0.21","167,517,896.28","6,065,094.00","27.62","United States","NYSE","USD","1.00","USD","-"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Real Estate","Equity","165,337,306.05","0.21","165,337,306.05","5,746,865.00","28.77","United States","NYSE","USD","1.00","USD","-"
"ESNT","ESSENT GROUP","Financials","Equity","165,052,782.40","0.21","165,052,782.40","2,399,023.00","68.80","United States","NYSE","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","164,737,244.70","0.21","164,737,244.70","972,762.00","169.35","United States","NYSE","USD","1.00","USD","-"
"QLYS","QUALYS","Information Technology","Equity","164,051,129.06","0.21","164,051,129.06","948,766.00","172.91","United States","NASDAQ","USD","1.00","USD","-"
"GATX","GATX","Industrials","Equity","163,987,665.90","0.21","163,987,665.90","931,219.00","176.10","United States","NYSE","USD","1.00","USD","-"
"TXNM","TXNM ENERGY INC","Utilities","Equity","163,924,714.24","0.21","163,924,714.24","2,841,968.00","57.68","United States","NYSE","USD","1.00","USD","-"
"ANF","ABERCROMBIE AND FITCH CLASS A","Consumer Discretionary","Equity","163,774,770.44","0.21","163,774,770.44","1,164,662.00","140.62","United States","NYSE","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS","Information Technology","Equity","163,493,833.44","0.21","163,493,833.44","1,166,064.00","140.21","United States","NASDAQ","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","163,232,798.19","0.21","163,232,798.19","7,264,477.00","22.47","United States","NYSE","USD","1.00","USD","-"
"HIMS","HIMS HERS HEALTH CLASS A","Health Care","Equity","162,071,951.45","0.20","162,071,951.45","5,625,545.00","28.81","United States","NYSE","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM","Information Technology","Equity","161,973,535.68","0.20","161,973,535.68","9,624,096.00","16.83","United States","NASDAQ","USD","1.00","USD","-"
"NPO","ENPRO","Industrials","Equity","159,653,783.20","0.20","159,653,783.20","562,280.00","283.94","United States","NYSE","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","159,472,513.50","0.20","159,472,513.50","3,485,738.00","45.75","United States","NYSE","USD","1.00","USD","-"
"LTH","LIFE TIME GROUP HOLDINGS","Consumer Discretionary","Equity","158,754,114.61","0.20","158,754,114.61","3,822,637.00","41.53","United States","NYSE","USD","1.00","USD","-"
"JBTM","JBT MAREL","Industrials","Equity","154,252,090.02","0.19","154,252,090.02","1,379,838.00","111.79","United States","NYSE","USD","1.00","USD","-"
"TVTX","TRAVERE THERAPEUTICS","Health Care","Equity","153,293,331.60","0.19","153,293,331.60","2,330,040.00","65.79","United States","NASDAQ","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS CLASS A","Industrials","Equity","151,257,307.90","0.19","151,257,307.90","1,663,082.00","90.95","United States","NASDAQ","USD","1.00","USD","-"
"SRRK","SCHOLAR ROCK HOLDING","Health Care","Equity","151,077,522.70","0.19","151,077,522.70","2,913,742.00","51.85","United States","NASDAQ","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","150,690,301.20","0.19","150,690,301.20","1,636,515.00","92.08","United States","NYSE","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","150,339,140.32","0.19","150,339,140.32","3,126,854.00","48.08","United States","NYSE","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","149,827,770.00","0.19","149,827,770.00","4,994,259.00","30.00","United States","NYSE","USD","1.00","USD","-"
"FTDR","FRONTDOOR INC","Consumer Discretionary","Equity","149,647,626.00","0.19","149,647,626.00","1,868,260.00","80.10","United States","NASDAQ","USD","1.00","USD","-"
"KGS","KODIAK GAS SERVICES INC","Energy","Equity","149,017,555.18","0.19","149,017,555.18","2,631,889.00","56.62","United States","NYSE","USD","1.00","USD","-"
"XENE","XENON PHARMACEUTICALS","Health Care","Equity","148,690,288.45","0.19","148,690,288.45","2,555,255.00","58.19","United States","NASDAQ","USD","1.00","USD","-"
"AUB","ATLANTIC UNION BANKSHARES","Financials","Equity","148,397,988.62","0.19","148,397,988.62","3,715,523.00","39.94","United States","NYSE","USD","1.00","USD","-"
"NE","NOBLE CORPORATION PLC","Energy","Equity","147,329,425.64","0.19","147,329,425.64","3,357,553.00","43.88","United States","NYSE","USD","1.00","USD","-"
